feat_stid,tgt_stid,tgt_LATITUDE,tgt_LONGITUDE,feat_LATITUDE,feat_LONGITUDE,dist_km
70133526648,99999926655,68.0277,-162.9212,67.56611,-162.975,51.4337749414615
70133700103,70117026634,65.56306,-167.92139,65.617,-168.1,10.1769735200412
70133700103,70119099999,65.253664,-166.858519,65.617,-168.1,70.2600366411788
70133700103,74923000393,65.233,-166.35,65.617,-168.1,91.5991030828945
70133899999,70212026646,61.78333,-166.03333,61.5333333,-165.5833333,36.6059230210778
70133899999,70305400108,61.85,-165.567,61.5333333,-165.5833333,35.2617187442526
70133899999,99999926656,61.3465,-164.0769,61.5333333,-165.5833333,82.8235281537968
70148626642,70104526649,68.03139,-162.90306,67.7306,-164.54788,76.6409148280682
70148626642,70133526648,67.56611,-162.975,67.7306,-164.54788,69.0555218725897
70148626642,99770499999,67.575,-164.067,67.7306,-164.54788,26.7261914129829
70148626642,99999926655,68.0277,-162.9212,67.7306,-164.54788,75.7824907553311
70162526542,70063526465,68.47889,-149.49,68.16667,-151.76667,99.8507498631395
70171826551,70171900490,66.88808,-157.16241,67.1,-157.85,38.0971321843155
70171826551,99999996407,66.562,-159.0036,67.1,-157.85,78.3531643870236
70171900490,70171826551,67.1,-157.85,66.88808,-157.16241,38.0971321843155
70171900490,99999996407,66.562,-159.0036,66.88808,-157.16241,88.7470358015152
70174026533,70174899999,66.8166666,-150.65,66.91764,-151.51892,39.6280384535373
70174026533,70360999999,67.252,-150.2038,66.91764,-151.51892,68.076653954382
70174899999,70174026533,66.91764,-151.51892,66.8166666,-150.65,39.6280384535373
70174899999,70360999999,67.252,-150.2038,66.8166666,-150.65,52.1924133982714
70199526628,70200499999,64.6891944,-163.41275,64.55044,-163.00716,24.7606620501353
70199526628,70222326602,64.935,-161.155,64.55044,-163.00716,97.8320728841485
70199526628,70388800111,64.37,-161.224,64.55044,-163.00716,87.9034227778108
70199526628,70389199999,64.6166666,-162.2666666,64.55044,-163.00716,36.1388112895168
70200026617,70200499999,64.6891944,-163.41275,64.51112,-165.44002,98.8035587717557
70200026617,74923000393,65.233,-166.35,64.51112,-165.44002,91.1458294360679
70200026617,99738399999,64.5,-165.42,64.51112,-165.44002,1.56604186875327
70200499999,70199526628,64.55044,-163.00716,64.6891944,-163.41275,24.7606620501353
70200499999,70200026617,64.51112,-165.44002,64.6891944,-163.41275,98.8035587717557
70200499999,70389199999,64.6166666,-162.2666666,64.6891944,-163.41275,55.210394127705
70200499999,99738399999,64.5,-165.42,64.6891944,-163.41275,98.1446625928816
