STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,COUNTRY,US_State
1124099999,64.1666666,12.4666666,195,"SNASA, NO",FM-12,99999,NO,-
1132099999,65.1666666,13.3666666,319,"MAJAVATN V, NO",FM-12,99999,NO,-
1133099999,65.6166666,13.2833333,50,"LAKSFORS, NO",FM-12,99999,NO,-
1135099999,66.1166666,13.5833333,123,"SELJELIA, NO",FM-12,99999,NO,-
1139099999,67.65,12.7166666,4,"VAEROY HELIPORT, NO",FM-12,99999,NO,-
1141099999,68.15,13.6166667,26,"LEKNES, NO",FM-12,99999,NO,-
1143099999,68.05,16.0833333,19,"DRAG AJLUOKTA, NO",FM-12,99999,NO,-
1144099999,67.4,13.8833333,24,"HELLIGVAER II, NO",FM-12,99999,NO,-
1146099999,66.2333333,13.8833333,5,"SKAMDAL, NO",FM-12,99999,NO,-
1147099999,65.8333333,14.1833333,406,"VARNTRESK, NO",FM-12,99999,NO,-
1148099999,66.3833333,14.5166666,110,"STORFORSHEI, NO",FM-12,99999,NO,-
1150099999,66.5,14.95,251,"HJARTASEN, NO",FM-12,99999,NO,-
1151099999,66.3666666,14.3,70,"MOIRANA, NO",FM-15,99999,NO,-
1152099999,67.269167,14.365278,12.8,"BODO, NO",FM-12,99999,NO,-
1156099999,68.6,14.4333333,7.55,"BO I VESTERALEN, NO",FM-12,99999,NO,-
1158099999,67.1666666,15.4833333,8,"SETSA, NO",FM-12,99999,NO,-
1160099999,68.15,14.65,11,"SKROVA FYR, NO",FM-12,99999,NO,-
1161099999,68.25,14.6666667,9,"SVOLVAER HELLE, NO",FM-12,99999,NO,-
1162099999,68.5833333,15.0166667,3,"STORKMARKNES SKAGEN, NO",FM-15,99999,NO,-
1169099999,66.9333333,15.3166666,37,"SALTDAL NORDNES, NO",FM-12,99999,NO,-
1180099999,68.8,16.5333333,45,"HARSTAD, NO",FM-12,99999,NO,-
1183099999,68.4913,16.678108,25.6,"EVENES, NO",FM-15,99999,NO,-
1192099999,68.4166666,17.65,200,"STRAUMSNES, NO",FM-12,99999,NO,-
1198099999,68.7833333,19.7,204,"DIVIDALEN II, NO",FM-12,99999,NO,-
1199099999,68.75,23.5333333,382,"SIHCCAJAVRI, NO",FM-12,99999,NO,-
1203099999,62.0333333,4.9833333,41,"KRAKENES, NO",FM-12,99999,NO,-
1205099999,62.3333333,5.2666666,37.17,"SVINOY LH, NO",FM-12,99999,NO,-
1209099999,62.1833333,6.0666667,74,"ORSTA VOLDA HOVDEN, NO",FM-15,99999,NO,-
1210099999,62.560372,6.110164,21.03,"VIGRA, NO",FM-12,99999,NO,-
1212099999,62.8666666,6.5333333,15,"ONA II, NO",FM-12,99999,NO,-
1214099999,62.65,6.7666666,43,"REKDAL, NO",FM-12,99999,NO,-
1217099999,62.744722,7.2625,3.04,"ARO, NO",FM-15,99999,NO,-
1218099999,62.2333333,7.4166666,17,"TAFJORD, NO",FM-12,99999,NO,-
1220099999,62.45,7.7666666,1294,"MANNEN, NO",FM-12,99999,NO,-
1221099999,63.05,9.0833333,415,"TAGDALEN, NO",FM-12,99999,NO,-
1223099999,63.111781,7.824522,62.17,"KVERNBERGET, NO",FM-15,99999,NO,-
1224099999,62.4666666,6.2166666,50,"AALESUND, NO",FM-12,99999,NO,-
1225099999,63.5166666,7.95,5,"VEIHOLMEN, NO",FM-12,99999,NO,-
1227099999,62.7166666,8.7833333,405,"INNERDALEN, NO",FM-12,99999,NO,-
1228099999,63.85,8.4666666,6,"SULA, NO",FM-12,99999,NO,-
1230099999,62.2666666,8.2,579,"BJORLI, NO",FM-12,99999,NO,-
1232099999,62.45,7.85,67,"VINJEORA II, NO",FM-12,99999,NO,-
1233099999,62.0833333,9.1166666,638,"DOMBAAS, NO",FM-12,99999,NO,-
1234099999,63.3166666,9.85,4,"ORKDAL THAMSHAMN, NO",FM-12,99999,NO,-
1237099999,63.5166666,9.1166666,13,"HITRA, NO",FM-12,99999,NO,-
1238099999,62.1166666,9.2833333,974,"FOKSTUA II, NO",FM-12,99999,NO,-
1239099999,62.2166666,9.55,1012,"HJERKINN II, NO",FM-12,99999,NO,-
1240099999,64.1666666,9.4,16,"HALTEN FYR, NO",FM-12,99999,NO,-
1241099999,63.698908,9.604003,8.53,"ORLAND, NO",FM-12,99999,NO,-
1242099999,63.9666666,10.2166666,30,"AFJORD II, NO",FM-12,99999,NO,-
1245099999,62.6,9.6666666,606,"OPPDAL SETER, NO",FM-12,99999,NO,-
1250099999,62.1333333,10,694,"FOLLDAL FREDHEIM, NO",FM-12,99999,NO,-
1253099999,62.95,10.1833333,299,"SOKNEDAL, NO",FM-12,99999,NO,-
1254099999,62.9833333,10.55,127,"KOTSOY, NO",FM-12,99999,NO,-
1257099999,63.4166666,10.45,131.5,"TRONDHEIM VOLL, NO",FM-12,99999,NO,-
1259099999,64.4,10.45,18.42,"BUHOLMRASA LH, NO",FM-12,99999,NO,-
1262099999,64.8,10.55,33,"NORDOYAN FYR, NO",FM-12,99999,NO,-
1265099999,62.2666666,10.7333333,482.3,"TYNSET HANSMOEN, NO",FM-12,99999,NO,-
1270099999,63.4833333,10.8833333,40,"KVITHAMAR, NO",FM-12,99999,NO,-
1271099999,63.457556,10.939872,17.06,"VAERNES, NO",FM-12,99999,NO,-
1272099999,63.5666666,10.7,70,"FROSTA, NO",FM-12,99999,NO,-
1273099999,63.2333333,11.0166666,160,"SELBU, NO",FM-12,99999,NO,-
1277099999,64.0166666,11.45,80,"STEINKJER, NO",FM-12,99999,NO,-
1281099999,64.7333333,12.85,140,"NAMSSKOGAN, NO",FM-12,99999,NO,-
1282099999,64.83692,11.14289,5,"RORVIK RYUM, NO",FM-12,99999,NO,-
1287099999,62.6833333,11.8166666,747,"SOLENDET, NO",FM-12,99999,NO,-
1288099999,62.5666666,11.3833333,630,"ROROS, NO",FM-12,99999,NO,-
1290099999,64.4666667,11.5833333,2,"NAMSOS AIRPORT, NO",FM-15,99999,NO,-
1291099999,64.5333333,12.3833333,95,"GARTLAND, NO",FM-12,99999,NO,-
1293099999,63.4166666,11.7333333,171,"MERAKER EGGE, NO",FM-12,99999,NO,-
1300099999,61.2,2.2666666,78,"GULLFAKS C, NO",FM-13,99999,NO,-
1300599999,61.25,1.85,117.65,"STATFJORD OIL PLATFORM HELIPORT, FO",FM-15,99999,FO,-
1304099999,61.5666666,4.6833333,25,"YTTEROYANE FYR, NO",FM-12,99999,NO,-
1307099999,60.75,4.7166666,20,"FEDJE, NO",FM-12,99999,NO,-
1308099999,61.3,5.05,7,"FURUNESET, NO",FM-12,99999,NO,-
1310099999,61.583611,5.024722,11.27,"FLORO, NO",FM-15,99999,NO,-
1311099999,60.293386,5.218142,51.81,"FLESLAND, NO",FM-12,99999,NO,-
1314099999,60.5166666,5.7166666,10,"FOSSMARK, NO",FM-12,99999,NO,-
1315099999,60.6333333,6.1,17,"EVANGER, NO",FM-12,99999,NO,-
1317099999,60.3833333,5.3333333,36,"BERGEN FLORIDA, NO",FM-12,99999,NO,-
1319099999,61.0333333,5.3833333,38,"TAKLE, NO",FM-12,99999,NO,-
1320099999,61.8333333,6.1166667,60,"SANDANE ANDA, NO",FM-15,99999,NO,-
1321099999,61.9,6.55,208,"STRYN, NO",FM-12,99999,NO,-
1323099999,61.392503,5.764167,327,"BRINGELAND, NO",FM-12,99999,NO,-
1326099999,60.85,5.9833333,125,"MODALEN III, NO",FM-12,99999,NO,-
1327099999,60.3833333,5.9666666,455,"KVAMSKOGEN JONSHOGDI, NO",FM-12,99999,NO,-
1329099999,60.35,6.2666666,50,"KVAMSOY, NO",FM-12,99999,NO,-
1332099999,61.43,6.77,3,"FJAERLAND BREMUSEET, NO",FM-12,99999,NO,-
1336099999,60.65,6.2166666,328,"BULKEN, NO",FM-12,99999,NO,-
1337099999,60.6333333,6.4333333,55,"VOSSEVANGEN, NO",FM-12,99999,NO,-
1338099999,61.1666666,6.65,51,"VANGSNES, NO",FM-12,99999,NO,-
1340099999,60.42,7.28,737,"FET I EIDFJORD, NO",FM-12,99999,NO,-
1342099999,60.3166666,6.65,12,"ULLENSVANG, NO",FM-12,99999,NO,-
1344099999,60.7,6.95,695,"MJOLFJELL, NO",FM-12,99999,NO,-
1345099999,60.7166666,7.2166666,960,"KLEVAVATNET, NO",FM-12,99999,NO,-
1346099999,60.65,7.2666666,1162,"MIDTSTOVA, NO",FM-12,99999,NO,-
1347099999,61.156111,7.136614,511,"SOGNDAL HAUKASEN, NO",FM-12,99999,NO,-
1350099999,60.6,7.5333333,1208,"FINSEVATN, NO",FM-12,99999,NO,-
1352099999,60.1833333,7.4833333,1250,"SANDHAUG, NO",FM-12,99999,NO,-
1355099999,61.1,7.5,5,"LAERDAL IV, NO",FM-12,99999,NO,-
1357099999,60.8666666,8.5166666,804.2,"HOLLEKOLTEN, NO",FM-12,99999,NO,-
1358099999,60.85,8.6,604,"HEMSEDAL II, NO",FM-12,99999,NO,-
1359099999,60.5333333,8.2,773,"GEILO OLDEBRATEN, NO",FM-12,99999,NO,-
1360099999,61.9,7.9,664,"BRATA SLETTOM, NO",FM-12,99999,NO,-
1361099999,62.0166666,7.6666666,872,"GROTLI III, NO",FM-12,99999,NO,-
1362099999,61.6666666,8.3666666,1894,"JUVVASSHOE, NO",FM-12,99999,NO,-
1364099999,61.1833333,8.1166666,955.1,"FILEFJELL, NO",FM-12,99999,NO,-
1365099999,61.2505556,8.9166666,965,"BEITOSTOLEN II, NO",FM-12,99999,NO,-
1366099999,61.5666666,8,1413,"SOGNEFJELL, NO",FM-12,99999,NO,-
1367099999,60.9833333,9.2166666,365.4,"FAGERNES, NO",FM-12,99999,NO,-
1368099999,61.015556,9.288056,822.04,"LEIRIN, NO",FM-12,99999,NO,-
1370099999,61.5166666,9.4,928,"SKABU, NO",FM-12,99999,NO,-
1371099999,61.1166666,9.0666666,521,"LOKEN I VOLBU, NO",FM-12,99999,NO,-
1373099999,60.5666666,9.1333333,166,"NESBYEN TODOKK, NO",FM-12,99999,NO,-
1374099999,60.9333333,10.0333333,542,"VEST TORPA II, NO",FM-12,99999,NO,-
1375099999,61.4666666,10.1333333,1028,"KVITFJELL, NO",FM-12,99999,NO,-
1375599999,61.0333333,2.0333333,10,"GULLFAX PLATFORM, NO",FM-15,99999,NO,-
1376099999,60.3833333,9.6,142,"GULSVIK II, NO",FM-12,99999,NO,-
1378099999,61.1,10.4666666,239,"LILLEHAMMER SAETHERENGEN, NO",FM-12,99999,NO,-
1380099999,61.65,10.1166666,930,"VENABU, NO",FM-12,99999,NO,-
1381099999,60.7,10.8666666,264,"APELSVOLL, NO",FM-12,99999,NO,-
1382099999,60.7666666,10.8,128,"KISE, NO",FM-12,99999,NO,-
1383099999,61.4,11.0802778,255,"EVENSTAD DIH, NO",FM-12,99999,NO,-
1384099999,60.193917,11.100361,207.56,"GARDERMOEN, NO",FM-12,99999,NO,-
1385099999,60.8166666,11.0666666,222.27,"HAMER, NO",FM-12,99999,NO,-
1386099999,60.8,11.1,132,"HAMAR II, NO",FM-12,99999,NO,-
1387099999,61.45,10.1833333,200,"FAVANG, NO",FM-12,99999,NO,-
1389099999,61.1833333,11.3666666,255.73,"RENA AIRPORT, NO",FM-12,99999,NO,-
1392099999,60.6166666,12.0166666,185,"FLISA II, NO",FM-12,99999,NO,-
1393099999,61.8833333,12.0333333,673.5,"DREVSJO, NO",FM-12,99999,NO,-
1397099999,61.3,12.2666666,361.36,"TRYSIL VEGSTASJON, NO",FM-12,99999,NO,-
1403099999,59.3,4.8666666,56.3,"UTSIRA FYR, NO",FM-12,99999,NO,-
1403399999,56.55,3.25,48.8,"EKOFISK OIL PLTFRM, NO",FM-13,99999,NO,-
1406099999,59.9166666,5.0666666,16,"SLATTEROY FYR, NO",FM-12,99999,NO,-
1408099999,59.345267,5.208364,26.21,"KARMOY, NO",FM-15,99999,NO,-
1411099999,59.0666666,5.4166666,22,"KVITSOY NORDBO, NO",FM-12,99999,NO,-
1412099999,58.65,5.5666666,26,"OBRESTAD, NO",FM-12,99999,NO,-
1413099999,58.75,5.65,87,"SAERHEIM, NO",FM-12,99999,NO,-
1414099999,59.4333333,5.0666666,25,"ROVER, NO",FM-12,99999,NO,-
1415099999,58.876667,5.637778,8.83,"SOLA, NO",FM-12,99999,NO,-
1416099999,58.95,5.7333333,72,"STAVANGER VAALAND, NO",FM-12,99999,NO,-
1417099999,59.4833333,5.75,65,"NEDRE VATS, NO",FM-12,99999,NO,-
1418099999,60.0166666,5.2,32,"AUSTEVOLL, NO",FM-12,99999,NO,-
1419099999,59.05,6.1166666,300,"LIARVATN, NO",FM-12,99999,NO,-
1422099999,59.1666666,6.0333333,25,"FISTER SIGMUNDSTAD, NO",FM-12,99999,NO,-
1424099999,59.65,6.3666666,6,"SAUDA, NO",FM-12,99999,NO,-
1425099999,58.5166666,6.5166666,66,"EIK HOVE, NO",FM-12,99999,NO,-
1426099999,58.4333333,5.8666666,49,"EIGEROYA, NO",FM-12,99999,NO,-
1427099999,58.1166666,6.5666666,14,"LISTA FYR, NO",FM-12,99999,NO,-
1428199999,59.1108,2.8458,94,"ULA OIL PLATFORM, NO",FM-15,99999,NO,-
1430099999,58.0166666,7.45,138,"MANDAL II, NO",FM-12,99999,NO,-
1431099999,58.9333333,6.9166666,557,"SIRDAL SINNES, NO",FM-12,99999,NO,-
1434099999,59.7666666,7.3666666,822,"VAAGSLI, NO",FM-12,99999,NO,-
1435099999,59.8166666,7.2166666,989.5,"HAUKELISETER TESTFELT, NO",FM-12,99999,NO,-
1436099999,57.9833333,7.05,13,"LINDESNES FYR, NO",FM-12,99999,NO,-
1439099999,58.25,7.4419444,260,"KONSMO HOYLAND, NO",FM-12,99999,NO,-
1440099999,59.3333333,6.8666666,1104.57,"BLASJO, NO",FM-12,99999,NO,-
1441099999,59.5833333,7.3833333,836,"HOVDEN LUNDANE, NO",FM-12,99999,NO,-
1442099999,58.6666666,7.8,211,"BYGLANDSFJORD, NO",FM-12,99999,NO,-
1444099999,59.2,7.5166666,302,"VALLE, NO",FM-12,99999,NO,-
1447099999,59.5,8.2,562,"HOYDALSMO II, NO",FM-12,99999,NO,-
1448099999,58.0666666,8.05,8,"OKSOY FYR, NO",FM-12,99999,NO,-
1449099999,58.8666666,9.0333333,32,"GJERSTAD, NO",FM-12,99999,NO,-
1450099999,59.8333333,8.1833333,977,"MOSSTRAND II, NO",FM-12,99999,NO,-
1452099999,58.204214,8.085369,17.37,"KJEVIK, NO",FM-12,99999,NO,-
1453099999,58.6,8.4166666,162,"HYNNEKLEIV, NO",FM-12,99999,NO,-
1455099999,59.0333333,8.5166666,252,"TVEITSUND, NO",FM-12,99999,NO,-
1459099999,58.65,8.6333333,142,"NELAUG, NO",FM-12,99999,NO,-
1460099999,59.4333333,10.5833333,14,"GULLHOLMEN, NO",FM-12,99999,NO,-
1461199999,59.85,8.65,1803.72,"GAUSTATOPPEN, NO",FM-12,99999,NO,-
1462099999,59.0833333,9.6666666,90,"PORSGRUNN, NO",FM-12,99999,NO,-
1463099999,59.65,10.7666666,89,"AS, NO",FM-12,99999,NO,-
1464099999,58.3333333,8.5166666,6,"LANDVIK, NO",FM-12,99999,NO,-
1465099999,58.4,8.7833333,15,"TORUNGEN FYR, NO",FM-12,99999,NO,-
1466099999,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,NO,-
