var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
PRD000375H04,70,40,55,
PRD000376H04,97,65,85,
PRD000377H04,96,71,83,
PRD000378H04,86,68,76,
PRD000379H04,85,59,68,
PRD000380H04,97,64,77,
PRD000381H04,100,86,94,
PRD000382H04,100,71,87,
PRD000383H04,100,89,97,
PRD000384H04,100,89,96,
PRD000385H04,100,76,91,
PRD000386H04,79,56,68,
PRD000387H04,65,48,57,
PRD000388H04,62,42,51,
PRD000389H04,60,48,55,
PRD000390H04,89,56,72,
PRD000391H04,61,46,52,
PRD000392H04,65,42,53,
PRD000393H04,92,60,83,
PRD000394H04,88,37,51,
PRD000395H04,82,27,49,
PRD000396H04,100,45,68,
PRD000397H04,90,50,71,
PRD000398H04,73,49,59,
PRD000399H04,100,46,64,
PRD000400H04,100,71,88,
PRD000401H04,75,44,58,
PRD000402H04,97,64,86,
PRD000403H04,96,64,78,
PRD000404H04,64,43,53,
PRD000405H04,70,40,55,
PRD000406H04,70,49,60,
PRD000407H04,72,45,58,
PRD000408H04,83,62,70,
PRD000409H04,67,51,54,
PRD000440H04,74,44,58,
PRD000441H04,63,42,52,
PRD000442H04,54,37,46,
PRD000443H04,97,47,67,
PRD000444H04,100,65,79,
PRD000445H04,70,41,57,
PRD000446H04,65,36,49,
PRD000447H04,74,45,59,
PRD000448H04,100,69,85,
PRD000449H04,93,55,71,
PRD000450H04,64,29,47,
PRD000451H04,68,43,53,
PRD000452H04,97,34,65,
PRD000453H04,96,73,85,
PRD000454H04,93,46,76,
PRD000455H04,79,56,69,
PRD000456H04,76,43,57,
PRD000457H04,82,56,68,
PRD000458H04,70,47,60,
PRD000459H04,93,40,59,
PRD000460H04,86,45,64,
PRD000461H04,86,60,74,
PRD000462H04,63,35,49,
PRD000463H04,87,55,74,
PRD000464H04,86,59,70,
PRD000465H04,89,38,62,
PRD000466H04,83,55,69,
PRD000467H04,77,43,61,
PRD000468H04,73,37,55,
PRD000469H04,89,39,60,
PRD000470H04,68,45,57,
PRD000471H04,100,63,86,
PRD000472H04,100,56,84,
PRD000473H04,93,53,70,
PRD000474H04,93,61,80,
PRD000475H04,93,59,79,
PRD000476H04,92,55,77,
PRD000477H04,90,56,78,
PRD000478H04,86,50,61,
PRD000479H04,72,43,57,
PRD000480H04,100,51,77,
PRD000481H04,100,81,94,
PRD000482H04,96,50,76,
PRD000483H04,90,51,76,
PRD000484H04,86,48,68,
PRD000485H04,80,45,65,
PRD000486H04,96,48,65,
PRD000487H04,96,67,86,
PRD000488H04,80,43,59,
PRD000489H04,100,49,78,
PRD000490H04,97,44,75,
PRD000491H04,87,48,72,
PRD000492H04,74,46,61,
PRD000493H04,77,51,62,
PRD000494H04,100,69,88,
PRD000495H04,100,90,96,
PRD000496H04,100,57,87,
PRD000497H04,100,69,86,
PRD000498H04,97,66,83,
PRD000499H04,93,52,77,
PRD000500H04,93,52,73,
PRD000501H04,100,78,90,
PRD000502H04,100,96,99,
PRD000503H04,97,71,86,
PRD000504H04,87,48,69,
PRD000505H04,93,78,87,
PRD000506H04,100,93,98,
PRD000507H04,100,96,99,
PRD000508H04,100,72,92,
PRD000509H04,93,47,69,
PRD000510H04,81,46,64,
PRD000511H04,70,40,53,
PRD000512H04,87,43,61,
PRD000513H04,100,87,95,
PRD000514H04,93,50,67,
PRD000515H04,60,33,49,
PRD000516H04,75,51,62,
PRD000517H04,93,35,57,
PRD000518H04,97,71,86,
PRD000519H04,100,62,86,
PRD000520H04,100,72,90,
PRD000521H04,100,72,92,
PRD000522H04,100,77,92,
PRD000523H04,100,62,88,
PRD000524H04,97,52,74,
PRD000525H04,94,49,73,
PRD000526H04,88,47,69,
PRD000527H04,96,57,74,
PRD000528H04,91,44,71,
PRD000529H04,81,57,70,
PRD000530H04,76,40,61,
PRD000531H04,70,40,54,
PRD000532H04,100,46,74,
PRD000533H04,97,69,87,
PRD000534H04,100,76,86,
PRD000535H04,97,49,74,
PRD000536H04,100,59,84,
PRD000537H04,100,82,94,
PRD000538H04,93,76,81,
PRD000539H04,73,48,63,
PRD000540H04,69,45,55,
PRD000541H04,90,51,66,
PRD000542H04,82,47,66,
PRD000543H04,68,45,56,
PRD000544H04,100,38,64,
PRD000545H04,100,88,94,
PRD000546H04,100,71,88,
PRD000547H04,100,69,88,
PRD000548H04,91,57,73,
PRD000549H04,100,43,72,
PRD000550H04,100,69,85,
PRD000551H04,93,42,67,
PRD000552H04,100,68,90,
PRD000553H04,68,37,51,
PRD000554H04,97,54,74,
PRD000555H04,100,71,92,
PRD000556H04,91,41,65,
PRD000557H04,96,45,66,
PRD000558H04,90,71,82,
PRD000559H04,81,54,66,
PRD000560H04,75,36,56,
PRD000561H04,68,34,54,
PRD000562H04,81,33,56,
PRD000563H04,79,40,56,
PRD000564H04,88,56,73,
PRD000565H04,94,56,75,
PRD000566H04,100,54,80,
PRD000567H04,96,55,76,
PRD000568H04,96,65,82,
PRD000569H04,94,62,75,
PRD000570H04,84,41,61,
PRD000571H04,71,36,55,
PRD000572H04,97,56,78,
PRD000573H04,100,53,76,
PRD000574H04,96,71,84,
PRD000575H04,100,79,90,
PRD000576H04,100,53,82,
PRD000577H04,100,82,96,
PRD000578H04,97,72,88,
PRD000579H04,100,67,82,
PRD000580H04,97,74,84,
PRD000581H04,85,41,66,
PRD000582H04,77,48,58,
PRD000583H04,97,48,68,
PRD000584H04,100,79,91,
PRD000585H04,97,72,86,
PRD000586H04,97,70,83,
PRD000587H04,100,67,86,
PRD000588H04,97,55,78,
PRD000589H04,100,72,89,
PRD000590H04,94,61,77,
PRD000591H04,100,70,88,
PRD000592H04,94,60,77,
PRD000593H04,100,48,77,
PRD000594H04,96,52,72,
PRD000595H04,100,61,77,
PRD000596H04,100,74,88,
PRD000597H04,100,77,90,
PRD000598H04,100,67,86,
PRD000599H04,100,79,94,
PRD000600H04,100,81,93,
PRD000601H04,93,61,76,
PRD000602H04,84,53,67,
PRD000603H04,90,54,71,
PRD000604H04,93,60,75,
PRD000605H04,84,41,60,
PRD000606H04,90,34,60,
PRD000607H04,93,45,75,
PRD000608H04,75,43,57,
PRD000609H04,93,57,77,
PRD000610H04,93,39,60,
PRD000611H04,100,74,88,
PRD000612H04,90,60,76,
PRD000613H04,90,35,64,
PRD000614H04,93,49,66,
PRD000615H04,84,41,62,
PRD000616H04,62,33,45,
PRD000617H04,73,40,52,
PRD000618H04,80,36,54,
PRD000619H04,80,40,58,
PRD000620H04,93,63,74,
PRD000621H04,100,38,70,
PRD000622H04,93,55,76,
PRD000623H04,96,56,77,
