var_name,precip_depth_sum_mm,ref_date
PRD000061H21,0,
PRD000061H20,0,
PRD000061H19,0,
PRD000061H18,0,
PRD000061H17,0,
PRD000061H16,0,
PRD000061H15,0,
PRD000061H14,0,
PRD000061H13,0,
PRD000061H12,0,
PRD000061H11,0,
PRD000061H10,0,
PRD000061H09,0,
PRD000061H08,0,
PRD000061H07,0,
PRD000061H06,0,
PRD000061H05,0,
PRD000061H04,0,
PRD000061H03,0,
PRD000061H02,0,
PRD000061H01,0,
PRD000061H00,0,
PRD000062H23,0,
PRD000062H22,0,
PRD000062H21,0,
PRD000062H20,0,
PRD000062H19,0,
PRD000062H18,0,
PRD000062H17,0,
PRD000062H16,0,
PRD000062H15,0,
PRD000062H14,0,
PRD000062H13,0,
PRD000062H12,0,
PRD000062H11,0,
PRD000062H10,0,
PRD000062H09,0,
PRD000062H08,0,
PRD000062H07,0,
PRD000062H06,0,
PRD000062H05,0,
PRD000062H04,0,
PRD000062H03,0,
PRD000062H02,0,
PRD000062H01,0,
PRD000062H00,0,
PRD000063H23,0,
PRD000063H22,0,
PRD000063H21,0,
PRD000063H20,0,
PRD000063H19,0,
PRD000063H18,0,
PRD000063H17,0,
PRD000063H16,0,
PRD000063H15,0,
PRD000063H14,0,
PRD000063H13,0,
PRD000063H12,0,
PRD000063H11,0,
PRD000063H10,0,
PRD000063H09,0,
PRD000063H08,0,
PRD000063H07,0,
PRD000063H06,0,
PRD000063H05,0,
PRD000063H04,0,
PRD000063H03,0,
PRD000063H02,0,
PRD000063H01,0,
PRD000063H00,0,
PRD000064H23,0,
PRD000064H22,0,
PRD000064H21,0,
PRD000064H20,0,
PRD000064H19,0,
PRD000064H18,0,
PRD000064H17,0,
PRD000064H16,0,
PRD000064H15,0,
PRD000064H14,0,
PRD000064H13,0,
PRD000064H12,0,
PRD000064H11,0,
PRD000064H10,0,
PRD000064H09,0,
PRD000064H08,0,
PRD000064H07,0,
PRD000064H06,0,
PRD000064H05,0,
PRD000064H04,0,
PRD000064H03,0,
PRD000064H02,0,
PRD000064H01,0,
PRD000064H00,0,
PRD000065H23,0,
PRD000065H22,0,
PRD000065H21,0,
PRD000065H20,0,
PRD000065H19,0,
PRD000065H18,0,
PRD000065H17,0,
PRD000065H16,0,
PRD000065H15,0,
PRD000065H14,0,
PRD000065H13,0,
PRD000065H12,0,
PRD000065H11,0,
PRD000065H10,0,
PRD000065H09,0,
PRD000065H08,0,
PRD000065H07,0,
PRD000065H06,0,
PRD000065H05,0,
PRD000065H04,0,
PRD000065H03,0,
PRD000065H02,0,
PRD000065H01,0,
PRD000065H00,0,
PRD000066H23,0,
PRD000066H22,0,
PRD000066H21,0,
PRD000066H20,0,
PRD000066H19,0,
PRD000066H18,0,
PRD000066H17,0,
PRD000066H16,0,
PRD000066H15,0,
PRD000066H14,0,
PRD000066H13,0,
PRD000066H12,0,
PRD000066H11,0,
PRD000066H10,0,
PRD000066H09,0,
PRD000066H08,0,
PRD000066H07,0,
PRD000066H06,0,
PRD000066H05,0,
PRD000066H04,0,
PRD000066H03,0,
PRD000066H02,0,
PRD000066H01,0,
PRD000066H00,0,
PRD000067H23,0,
PRD000067H22,0,
PRD000067H21,0,
PRD000067H20,0,
PRD000067H19,0,
PRD000067H18,0,
PRD000067H17,0,
PRD000067H16,0,
PRD000067H15,0,
PRD000067H14,0,
PRD000067H13,0,
PRD000067H12,0,
PRD000067H11,0,
PRD000067H10,0,
PRD000067H09,0,
PRD000067H08,0,
PRD000067H07,0,
PRD000067H06,0,
PRD000067H05,0,
PRD000067H04,0,
PRD000067H03,0,
PRD000067H02,0,
PRD000067H01,0,
PRD000067H00,0,
PRD000068H23,0,
PRD000068H22,0,
PRD000068H21,0,
PRD000068H20,0,
PRD000068H19,0,
PRD000068H18,0,
PRD000068H17,0,
PRD000068H16,0,
PRD000068H15,0,
PRD000068H14,0,
PRD000068H13,0,
PRD000068H12,0,
PRD000068H11,0,
PRD000068H10,0,
PRD000068H09,0,
PRD000068H08,0,
PRD000068H07,0,
PRD000068H06,0,
PRD000068H05,0,
PRD000068H04,0,
PRD000068H03,0,
PRD000068H02,0,
PRD000068H01,0,
PRD000068H00,0,
PRD000069H23,0,
PRD000069H22,0,
PRD000069H21,0,
PRD000069H20,0,
PRD000069H19,0,
PRD000069H18,0,
PRD000069H17,0,
PRD000069H16,0,
PRD000069H15,0,
PRD000069H14,0,
PRD000069H13,0,
PRD000069H12,0,
PRD000069H11,0,
PRD000069H10,0,
PRD000069H09,0,
PRD000069H08,0,
PRD000069H07,0,
PRD000069H06,0,
PRD000069H05,0,
PRD000069H04,0,
PRD000069H03,0,
PRD000069H02,0,
PRD000069H01,0,
PRD000069H00,0,
PRD000070H23,0,
PRD000070H22,0,
PRD000070H21,0,
PRD000070H20,0,
PRD000070H19,0,
PRD000070H18,0,
PRD000070H17,0,
PRD000070H16,0,
PRD000070H15,0,
PRD000070H14,0,
PRD000070H13,0,
PRD000070H12,0,
PRD000070H11,0,
PRD000070H10,0,
PRD000070H09,0,
PRD000070H08,0,
PRD000070H07,0,
PRD000070H06,0,
PRD000070H05,0,
PRD000070H04,0,
PRD000070H03,0,
PRD000070H02,0,
PRD000070H01,0,
PRD000070H00,0,
PRD000071H23,0,
PRD000071H22,0,
PRD000071H21,0,
PRD000071H20,0,
PRD000071H19,0,
PRD000071H18,0,
PRD000071H17,0,
PRD000071H16,0,
PRD000071H15,0,
PRD000071H14,0,
PRD000071H13,0,
PRD000071H12,0,
PRD000071H11,0,
PRD000071H10,0,
PRD000071H09,0,
PRD000071H08,0,
PRD000071H07,0,
PRD000071H06,0,
PRD000071H05,0,
PRD000071H04,0,
PRD000071H03,0,
PRD000071H02,0,
PRD000071H01,0,
PRD000071H00,0,
PRD000072H23,0,
PRD000072H22,0,
PRD000072H21,0,
PRD000072H20,0,
PRD000072H19,0,
PRD000072H18,0,
PRD000072H17,0,
PRD000072H16,0,
PRD000072H15,0,
PRD000072H14,0,
PRD000072H13,0,
PRD000072H12,0,
PRD000072H11,0,
PRD000072H10,0,
PRD000072H09,0,
PRD000072H08,0,
PRD000072H07,0,
PRD000072H06,0,
PRD000072H05,0,
PRD000072H04,0,
PRD000072H03,0,
PRD000072H02,0,
PRD000072H01,0,
PRD000072H00,0,
PRD000073H23,0,
PRD000073H22,0,
PRD000073H21,0,
PRD000073H20,0,
PRD000073H19,0,
PRD000073H18,0,
PRD000073H17,0,
PRD000073H16,0,
PRD000073H15,0,
PRD000073H14,0,
PRD000073H13,0,
PRD000073H12,0,
PRD000073H11,0,
PRD000073H10,0,
PRD000073H09,0,
PRD000073H08,0,
PRD000073H07,0,
PRD000073H06,0,
PRD000073H05,0,
PRD000073H04,0,
PRD000073H03,0,
PRD000073H02,0,
PRD000073H01,0,
PRD000073H00,0,
PRD000074H23,0,
PRD000074H22,0,
PRD000074H21,0,
PRD000074H20,0,
PRD000074H19,0,
PRD000074H18,0,
PRD000074H17,0,
PRD000074H16,0,
PRD000074H15,0,
PRD000074H14,0,
PRD000074H13,0,
PRD000074H12,0,
PRD000074H11,0,
PRD000074H10,0,
PRD000074H09,0,
PRD000074H08,0,
PRD000074H07,0,
PRD000074H06,0,
PRD000074H05,0,
PRD000074H04,0,
PRD000074H03,0,
PRD000074H02,0,
PRD000074H01,0,
PRD000074H00,0,
PRD000075H23,0,
PRD000075H22,0,
