var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000140H05,83,17,42,2025-02-18
RHD000141H05,83,20,47,
RHD000142H05,78,20,48,
RHD000143H05,83,24,52,
RHD000144H05,87,23,56,
RHD000145H05,86,26,57,
RHD000146H05,90,23,54,
RHD000147H05,93,25,62,
RHD000148H05,86,47,67,
RHD000149H05,93,56,83,
RHD000150H05,87,37,65,
RHD000151H05,83,17,41,
RHD000152H05,93,13,52,
RHD000153H05,84,31,56,
RHD000154H05,72,20,42,
RHD000155H05,77,14,43,
RHD000156H05,56,16,32,
RHD000157H05,80,12,39,
RHD000158H05,64,17,41,
RHD000159H05,56,14,28,
RHD000160H05,80,17,38,
RHD000161H05,77,18,41,
RHD000162H05,73,19,41,
RHD000163H05,90,29,54,
RHD000164H05,90,38,60,
RHD000165H05,97,37,62,
RHD000166H05,97,25,60,
RHD000167H05,90,30,56,
RHD000168H05,80,32,55,
RHD000169H05,81,22,49,
RHD000170H05,93,27,60,
RHD000171H05,90,39,70,
RHD000172H05,84,34,62,
RHD000173H05,90,29,51,
RHD000174H05,93,31,65,
RHD000175H05,93,30,58,
RHD000176H05,70,20,41,
RHD000177H05,66,21,39,
RHD000178H05,81,18,46,
RHD000179H05,68,17,39,
RHD000180H05,81,19,43,
RHD000181H05,97,20,55,
RHD000182H05,70,17,38,
RHD000183H05,78,17,41,
RHD000184H05,73,22,43,
RHD000185H05,84,20,46,
RHD000186H05,78,34,53,
RHD000187H05,84,23,51,
RHD000188H05,93,21,52,
RHD000189H05,93,32,65,
RHD000190H05,97,33,64,
RHD000191H05,97,46,78,
RHD000192H05,97,39,86,
RHD000193H05,79,46,65,
RHD000194H05,70,11,29,
RHD000195H05,76,16,41,
RHD000196H05,84,22,43,
RHD000197H05,90,25,52,
RHD000198H05,87,27,61,
RHD000199H05,87,31,55,
RHD000200H05,81,27,55,
RHD000201H05,68,9,34,
RHD000202H05,76,16,38,
RHD000203H05,64,10,33,
RHD000204H05,51,19,34,
RHD000205H05,68,18,39,
RHD000206H05,67,20,39,
RHD000207H05,70,19,40,
RHD000208H05,90,18,46,
RHD000209H05,90,28,54,
RHD000210H05,87,30,58,
RHD000211H05,91,49,73,
RHD000212H05,91,33,60,
RHD000213H05,91,22,56,
RHD000214H05,93,35,59,
RHD000215H05,91,33,58,
RHD000216H05,84,21,45,
RHD000217H05,61,18,35,
RHD000218H05,58,16,32,
RHD000219H05,84,16,30,
RHD000220H05,96,16,33,
RHD000221H05,96,17,44,
RHD000222H05,93,21,46,
RHD000223H05,87,23,52,
RHD000224H05,93,35,65,
RHD000225H05,90,35,57,
RHD000226H05,90,24,53,
RHD000227H05,90,50,69,
RHD000228H05,87,40,60,
RHD000229H05,84,29,57,
RHD000230H05,64,29,45,
RHD000231H05,63,21,40,
RHD000232H05,87,26,57,
RHD000233H05,87,37,56,
RHD000234H05,96,19,51,
RHD000235H05,87,28,65,
RHD000236H05,84,21,56,
RHD000237H05,65,18,40,
RHD000238H05,64,18,32,
RHD000239H05,84,28,49,
RHD000240H05,90,28,54,
RHD000241H05,93,56,75,
RHD000242H05,100,43,68,
RHD000243H05,93,47,74,
RHD000244H05,67,11,39,
RHD000245H05,82,15,48,
RHD000246H05,93,28,53,
RHD000247H05,93,34,57,
RHD000248H05,91,35,70,
RHD000249H05,87,20,49,
RHD000250H05,96,25,57,
RHD000251H05,100,37,68,
RHD000252H05,93,66,83,
RHD000253H05,93,38,66,
RHD000254H05,75,15,48,
RHD000255H05,87,13,49,
RHD000256H05,70,26,45,
RHD000257H05,93,17,43,
RHD000258H05,100,16,48,
RHD000259H05,97,14,56,
RHD000260H05,87,9,53,
RHD000261H05,93,29,54,
RHD000262H05,84,26,58,
RHD000263H05,93,39,59,
RHD000264H05,97,36,62,
RHD000265H05,83,36,59,
RHD000266H05,56,13,30,
RHD000267H05,51,8,23,
RHD000268H05,55,5,26,
RHD000269H05,58,16,30,
RHD000270H05,90,5,32,
RHD000271H05,71,22,46,
RHD000272H05,70,9,25,
RHD000273H05,68,6,24,
RHD000274H05,86,9,40,
RHD000275H05,93,16,39,
RHD000276H05,90,21,51,
RHD000277H05,90,33,70,
RHD000278H05,87,26,55,
RHD000279H05,83,14,41,
RHD000280H05,97,24,51,
RHD000281H05,100,28,69,
RHD000282H05,96,42,69,
RHD000283H05,69,29,47,
RHD000284H05,44,19,30,
RHD000285H05,41,9,23,
RHD000286H05,81,6,17,
RHD000287H05,86,7,33,
RHD000288H05,97,32,67,
RHD000289H05,86,48,63,
RHD000290H05,96,39,72,
RHD000291H05,87,29,54,
RHD000323H05,52,12,19,
RHD000324H05,89,13,48,
RHD000325H05,88,10,31,
RHD000326H05,93,14,47,
RHD000327H05,97,43,79,
RHD000328H05,92,41,66,
RHD000329H05,93,66,79,
RHD000330H05,93,16,48,
RHD000331H05,89,44,65,
RHD000332H05,89,26,50,
RHD000333H05,100,19,66,
RHD000334H05,79,18,43,
RHD000335H05,89,21,51,
RHD000336H05,78,23,52,
RHD000337H05,89,28,54,
RHD000338H05,86,68,80,
RHD000339H05,86,59,74,
RHD000340H05,86,37,76,
RHD000341H05,86,17,42,
RHD000342H05,58,11,28,
RHD000343H05,81,9,35,
RHD000344H05,85,14,47,
RHD000345H05,85,28,57,
RHD000346H05,93,51,74,
RHD000347H05,83,15,50,
RHD000348H05,82,23,55,
RHD000349H05,70,25,53,
RHD000350H05,59,20,35,
RHD000351H05,32,8,17,
RHD000352H05,96,5,22,
RHD000353H05,100,9,46,
RHD000354H05,96,46,69,
RHD000355H05,80,22,48,
RHD000356H05,66,15,43,
RHD000357H05,56,15,35,
RHD000358H05,58,8,24,
RHD000359H05,72,7,35,
RHD000360H05,82,23,47,
RHD000361H05,79,26,48,
RHD000362H05,52,8,26,
RHD000363H05,85,9,36,
RHD000364H05,92,13,40,
RHD000365H05,92,29,64,
RHD000366H05,92,51,75,
RHD000367H05,85,51,71,
RHD000368H05,84,22,56,
RHD000369H05,89,16,53,
RHD000370H05,92,28,61,
RHD000371H05,92,31,59,
RHD000372H05,92,72,83,
RHD000373H05,96,61,85,
RHD000374H05,89,14,52,
RHD000375H05,61,14,38,
RHD000376H05,86,38,63,
RHD000377H05,89,28,59,
RHD000378H05,93,37,69,
RHD000379H05,96,63,79,
RHD000380H05,97,61,81,
RHD000381H05,89,61,77,
RHD000382H05,92,17,54,
RHD000383H05,85,27,60,
RHD000384H05,82,24,56,
RHD000385H05,82,20,54,
RHD000386H05,88,15,55,
RHD000387H05,97,34,67,
RHD000388H05,100,76,91,
RHD000389H05,100,51,82,
RHD000390H05,100,69,91,
RHD000391H05,97,50,82,
RHD000392H05,85,37,66,
RHD000393H05,75,32,50,
RHD000394H05,68,33,49,
RHD000395H05,70,40,56,
RHD000396H05,88,25,62,
RHD000397H05,73,24,50,
RHD000398H05,76,34,54,
RHD000399H05,76,52,62,
RHD000400H05,76,53,61,
RHD000401H05,84,54,67,
RHD000402H05,81,24,54,
RHD000403H05,81,44,67,
RHD000404H05,84,43,63,
RHD000405H05,78,49,63,
RHD000406H05,97,63,83,
RHD000407H05,88,70,78,
RHD000408H05,96,48,75,
RHD000409H05,96,73,87,
RHD000410H05,100,81,95,
RHD000411H05,88,34,65,
RHD000412H05,88,42,67,
RHD000413H05,89,41,69,
RHD000414H05,84,48,66,
RHD000445H05,89,30,54,
RHD000446H05,82,17,53,
RHD000447H05,89,21,58,
RHD000448H05,85,33,66,
RHD000449H05,85,41,68,
RHD000450H05,92,66,85,
RHD000451H05,76,47,59,
RHD000452H05,81,28,55,
RHD000453H05,81,15,43,
RHD000454H05,61,22,44,
RHD000455H05,92,43,56,
RHD000456H05,97,22,55,
RHD000457H05,89,38,65,
RHD000458H05,92,30,51,
RHD000459H05,97,20,56,
RHD000460H05,96,30,62,
RHD000461H05,97,33,70,
RHD000462H05,83,24,55,
RHD000463H05,92,19,53,
RHD000464H05,75,34,56,
RHD000465H05,73,20,42,
RHD000466H05,67,23,47,
RHD000467H05,56,24,36,
RHD000468H05,53,10,26,
RHD000469H05,79,15,28,
RHD000470H05,93,11,46,
RHD000471H05,73,26,49,
RHD000472H05,61,13,32,
RHD000473H05,66,10,35,
RHD000474H05,71,13,37,
RHD000475H05,68,18,39,
RHD000476H05,89,22,50,
RHD000477H05,88,44,65,
RHD000478H05,96,65,82,
RHD000479H05,80,29,48,
RHD000480H05,89,13,47,
RHD000481H05,93,26,58,
RHD000482H05,100,30,64,
RHD000483H05,93,27,62,
RHD000484H05,77,13,41,
RHD000485H05,64,15,40,
RHD000486H05,66,12,36,
RHD000487H05,71,15,42,
RHD000488H05,73,25,44,
RHD000489H05,83,18,44,
RHD000490H05,86,22,53,
RHD000491H05,82,24,55,
RHD000492H05,79,31,56,
RHD000493H05,60,27,44,
RHD000494H05,62,9,27,
RHD000495H05,86,15,43,
RHD000496H05,83,20,45,
RHD000497H05,86,18,51,
RHD000498H05,93,23,56,
RHD000499H05,86,30,56,
RHD000500H05,86,41,63,
RHD000501H05,90,24,58,
RHD000502H05,93,44,64,
RHD000503H05,93,19,61,
RHD000504H05,90,54,76,
RHD000505H05,93,50,76,
RHD000506H05,62,24,44,
RHD000507H05,81,8,37,
RHD000508H05,75,16,43,
RHD000509H05,90,12,46,
RHD000510H05,83,30,52,
RHD000511H05,74,22,44,
RHD000512H05,67,27,42,
RHD000513H05,84,19,40,
RHD000514H05,100,12,48,
RHD000515H05,78,20,46,
RHD000516H05,72,12,39,
RHD000517H05,93,13,39,
RHD000518H05,93,18,51,
RHD000519H05,97,27,60,
RHD000520H05,96,35,67,
RHD000521H05,100,45,74,
RHD000522H05,100,50,81,
RHD000523H05,100,78,96,
RHD000524H05,97,51,75,
RHD000525H05,100,68,90,
RHD000526H05,93,27,64,
RHD000527H05,93,28,58,
RHD000528H05,68,17,38,
RHD000529H05,84,7,37,
RHD000530H05,77,29,48,
RHD000531H05,54,24,36,
RHD000532H05,58,15,26,
RHD000533H05,75,13,34,
RHD000534H05,67,13,34,
RHD000535H05,75,14,37,
RHD000536H05,90,22,47,
RHD000537H05,87,23,54,
RHD000538H05,97,32,61,
RHD000539H05,100,39,70,
RHD000540H05,96,42,64,
