var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000140H05,87,25,53,2025-02-18
RHD000141H05,73,34,50,
RHD000142H05,76,27,47,
RHD000143H05,84,31,51,
RHD000144H05,84,34,56,
RHD000145H05,93,40,64,
RHD000146H05,96,36,72,
RHD000147H05,100,60,85,
RHD000148H05,93,42,62,
RHD000149H05,82,40,57,
RHD000150H05,82,39,57,
RHD000151H05,82,39,58,
RHD000152H05,90,41,64,
RHD000153H05,90,44,64,
RHD000154H05,84,44,63,
RHD000155H05,82,47,61,
RHD000156H05,77,48,61,
RHD000157H05,93,41,62,
RHD000158H05,87,45,70,
RHD000159H05,84,61,73,
RHD000160H05,72,27,45,
RHD000161H05,75,25,44,
RHD000162H05,74,29,44,
RHD000163H05,79,33,49,
RHD000164H05,94,44,70,
RHD000165H05,94,52,72,
RHD000166H05,94,60,87,
RHD000167H05,97,55,86,
RHD000168H05,90,48,65,
RHD000169H05,88,43,68,
RHD000170H05,82,44,62,
RHD000171H05,94,47,68,
RHD000172H05,85,41,61,
RHD000173H05,91,40,62,
RHD000174H05,94,37,65,
RHD000175H05,71,28,50,
RHD000176H05,71,31,47,
RHD000177H05,82,36,53,
RHD000178H05,77,35,53,
RHD000179H05,65,36,51,
RHD000180H05,69,35,52,
RHD000181H05,65,30,45,
RHD000182H05,67,19,39,
RHD000183H05,71,24,45,
RHD000184H05,74,33,50,
RHD000185H05,77,31,50,
RHD000186H05,74,32,51,
RHD000187H05,79,30,52,
RHD000188H05,79,32,53,
RHD000189H05,79,32,53,
RHD000190H05,69,40,56,
RHD000191H05,67,39,52,
RHD000192H05,72,50,59,
RHD000193H05,63,29,45,
RHD000194H05,61,24,42,
RHD000195H05,69,30,47,
RHD000196H05,77,28,49,
RHD000197H05,77,32,51,
RHD000198H05,90,18,50,
RHD000199H05,77,30,49,
RHD000200H05,88,25,52,
RHD000201H05,85,37,59,
RHD000202H05,88,42,61,
RHD000203H05,87,41,63,
RHD000204H05,88,43,66,
RHD000205H05,96,40,67,
RHD000206H05,90,51,71,
RHD000207H05,94,47,67,
RHD000208H05,97,41,66,
RHD000209H05,94,46,75,
RHD000210H05,96,51,76,
RHD000211H05,96,53,74,
RHD000212H05,71,34,51,
RHD000213H05,85,33,54,
RHD000214H05,91,40,62,
RHD000215H05,80,50,66,
RHD000216H05,67,23,46,
RHD000217H05,79,34,55,
RHD000218H05,90,33,59,
RHD000219H05,90,37,64,
RHD000220H05,82,34,57,
RHD000221H05,79,28,51,
RHD000222H05,94,30,54,
RHD000223H05,100,28,59,
RHD000224H05,96,55,75,
RHD000225H05,84,39,62,
RHD000226H05,90,38,61,
RHD000227H05,82,52,66,
RHD000228H05,79,41,57,
