var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000140H05,84,29,54,2025-02-18
RHD000141H05,75,28,50,
RHD000142H05,81,25,49,
RHD000143H05,76,26,51,
RHD000144H05,90,34,57,
RHD000145H05,91,49,73,
RHD000146H05,88,52,74,
RHD000147H05,94,47,71,
RHD000148H05,97,36,65,
RHD000149H05,94,36,65,
RHD000150H05,97,35,66,
RHD000151H05,100,36,68,
RHD000152H05,90,40,66,
RHD000153H05,90,36,62,
RHD000154H05,94,40,66,
RHD000155H05,87,38,71,
RHD000156H05,96,36,65,
RHD000157H05,93,39,66,
RHD000158H05,94,53,76,
RHD000159H05,90,53,77,
RHD000160H05,88,44,60,
RHD000161H05,63,31,44,
RHD000162H05,79,31,49,
RHD000163H05,87,24,51,
RHD000164H05,88,57,73,
RHD000165H05,94,65,79,
RHD000166H05,88,56,73,
RHD000167H05,90,43,71,
RHD000168H05,94,48,70,
RHD000169H05,97,62,80,
RHD000170H05,94,51,73,
RHD000171H05,94,54,75,
RHD000172H05,91,54,76,
RHD000173H05,94,44,72,
RHD000174H05,94,57,80,
RHD000175H05,91,55,76,
RHD000176H05,88,34,59,
RHD000177H05,94,36,64,
RHD000178H05,91,62,82,
RHD000179H05,90,42,65,
RHD000180H05,87,39,61,
RHD000181H05,79,34,56,
RHD000182H05,90,38,62,
RHD000183H05,90,40,65,
RHD000184H05,93,46,68,
RHD000185H05,94,43,68,
RHD000186H05,93,46,69,
RHD000187H05,90,46,68,
RHD000188H05,94,49,71,
RHD000189H05,94,46,69,
RHD000190H05,82,47,65,
RHD000191H05,82,48,63,
RHD000192H05,82,50,64,
RHD000193H05,88,43,65,
RHD000194H05,87,40,63,
RHD000195H05,88,40,63,
RHD000196H05,87,43,61,
RHD000197H05,88,40,63,
RHD000198H05,93,51,73,
RHD000199H05,94,46,71,
RHD000200H05,94,46,72,
RHD000201H05,94,44,70,
RHD000202H05,94,43,73,
RHD000203H05,97,51,77,
RHD000204H05,97,59,82,
RHD000205H05,96,65,83,
RHD000206H05,97,77,88,
RHD000207H05,97,82,90,
RHD000208H05,94,52,77,
RHD000209H05,97,75,89,
RHD000210H05,97,59,86,
RHD000211H05,94,48,77,
RHD000212H05,85,39,62,
RHD000213H05,90,52,69,
RHD000214H05,97,54,78,
RHD000215H05,94,47,70,
RHD000216H05,94,47,70,
RHD000217H05,94,48,72,
RHD000218H05,94,54,77,
RHD000219H05,94,58,79,
RHD000220H05,94,70,82,
RHD000221H05,91,44,70,
RHD000222H05,91,37,61,
RHD000223H05,94,46,66,
RHD000224H05,94,59,81,
RHD000225H05,90,41,78,
RHD000226H05,87,52,75,
RHD000227H05,90,43,67,
RHD000228H05,90,46,67,
RHD000229H05,93,46,67,
RHD000230H05,88,41,63,
RHD000231H05,90,46,68,
RHD000232H05,94,49,69,
RHD000233H05,94,49,70,
RHD000234H05,94,51,73,
RHD000235H05,94,51,76,
RHD000236H05,94,49,71,
RHD000237H05,93,54,73,
RHD000238H05,93,49,71,
RHD000239H05,90,47,66,
RHD000240H05,94,49,70,
RHD000241H05,94,50,73,
RHD000242H05,94,51,76,
RHD000243H05,94,82,88,
RHD000244H05,90,51,70,
RHD000245H05,93,54,71,
RHD000246H05,90,44,66,
RHD000247H05,91,42,64,
RHD000248H05,88,44,65,
RHD000249H05,91,50,67,
RHD000250H05,94,63,81,
RHD000251H05,94,54,77,
RHD000252H05,90,52,72,
RHD000253H05,97,49,72,
RHD000254H05,94,50,71,
RHD000255H05,91,49,68,
RHD000256H05,94,43,66,
RHD000257H05,93,65,81,
RHD000258H05,88,60,75,
RHD000259H05,94,56,74,
RHD000260H05,93,52,75,
RHD000261H05,91,52,73,
RHD000262H05,94,59,76,
RHD000263H05,94,54,78,
RHD000264H05,90,52,72,
RHD000265H05,94,57,76,
RHD000266H05,97,54,73,
RHD000267H05,90,61,76,
RHD000268H05,93,52,73,
RHD000269H05,88,56,73,
RHD000270H05,88,57,74,
RHD000271H05,90,57,76,
RHD000272H05,94,56,74,
RHD000273H05,94,47,72,
RHD000274H05,97,44,69,
RHD000275H05,96,49,73,
RHD000276H05,96,55,78,
RHD000277H05,100,63,84,
RHD000278H05,93,40,60,
RHD000279H05,97,36,65,
RHD000280H05,97,82,92,
RHD000281H05,96,73,90,
RHD000282H05,87,49,69,
RHD000283H05,91,42,60,
RHD000284H05,94,63,76,
RHD000285H05,91,65,81,
RHD000286H05,94,57,77,
RHD000287H05,97,61,81,
RHD000288H05,94,61,80,
RHD000289H05,93,61,79,
RHD000290H05,94,67,86,
RHD000291H05,97,65,83,
RHD000292H05,94,67,81,
RHD000293H05,97,59,75,
RHD000323H05,93,62,77,
RHD000324H05,90,60,75,
RHD000325H05,93,42,66,
RHD000326H05,90,37,62,
RHD000327H05,78,43,59,
RHD000328H05,81,39,51,
RHD000329H05,93,33,69,
RHD000330H05,89,59,74,
