var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000400H04,86,53,73,
RHD000401H04,93,50,73,
RHD000402H04,93,70,83,
RHD000403H04,67,32,49,
RHD000404H04,55,35,47,
RHD000405H04,96,65,89,
RHD000406H04,93,50,75,
RHD000407H04,89,41,64,
RHD000408H04,75,34,48,
RHD000409H04,85,31,56,
RHD000410H04,97,71,86,
RHD000411H04,93,60,78,
RHD000412H04,81,46,65,
RHD000413H04,71,34,50,
RHD000414H04,66,19,39,
RHD000415H04,62,37,49,
RHD000416H04,92,38,66,
RHD000417H04,89,35,50,
RHD000418H04,85,25,49,
RHD000419H04,72,36,48,
RHD000420H04,92,67,79,
RHD000421H04,92,49,68,
RHD000422H04,89,51,62,
RHD000423H04,100,52,82,
RHD000424H04,96,48,77,
RHD000425H04,88,24,58,
RHD000426H04,77,40,59,
RHD000427H04,75,41,54,
RHD000428H04,61,22,41,
RHD000429H04,74,35,50,
RHD000430H04,64,36,52,
RHD000431H04,89,62,75,
RHD000432H04,82,70,75,
RHD000433H04,85,70,78,
RHD000434H04,82,70,75,
RHD000435H04,92,70,79,
RHD000436H04,97,83,91,
RHD000437H04,93,71,83,
RHD000438H04,97,73,92,
RHD000439H04,100,73,88,
RHD000440H04,97,92,95,
RHD000441H04,96,44,71,
RHD000442H04,84,44,61,
RHD000443H04,67,37,53,
RHD000444H04,71,49,57,
RHD000445H04,85,52,72,
RHD000446H04,77,43,57,
RHD000447H04,68,41,53,
RHD000448H04,89,65,81,
RHD000449H04,62,26,43,
RHD000450H04,56,37,48,
RHD000451H04,97,41,71,
RHD000452H04,85,46,65,
RHD000453H04,70,49,58,
RHD000454H04,100,46,70,
RHD000455H04,96,79,88,
RHD000456H04,92,47,68,
RHD000457H04,92,78,87,
RHD000458H04,92,57,71,
RHD000459H04,78,44,56,
RHD000460H04,92,49,64,
RHD000461H04,88,60,73,
RHD000462H04,88,45,68,
RHD000463H04,78,40,61,
RHD000464H04,64,53,59,
RHD000496H04,93,39,52,
RHD000497H04,75,30,51,
RHD000498H04,93,53,70,
RHD000499H04,89,55,73,
RHD000500H04,69,34,51,
RHD000501H04,60,41,49,
RHD000502H04,96,50,64,
RHD000503H04,97,79,88,
RHD000504H04,93,47,64,
RHD000505H04,76,32,53,
RHD000506H04,75,37,56,
RHD000507H04,97,48,70,
RHD000508H04,100,52,80,
RHD000509H04,92,35,65,
RHD000510H04,92,48,72,
RHD000511H04,92,52,74,
RHD000512H04,89,45,68,
RHD000513H04,88,49,68,
RHD000514H04,82,43,62,
RHD000515H04,97,43,69,
RHD000516H04,93,55,78,
RHD000517H04,61,37,49,
RHD000518H04,93,49,72,
RHD000519H04,90,52,67,
RHD000520H04,90,40,63,
RHD000521H04,77,44,60,
RHD000522H04,85,32,60,
RHD000523H04,89,38,65,
RHD000524H04,93,70,82,
RHD000525H04,89,38,58,
RHD000526H04,97,71,88,
RHD000527H04,97,62,85,
RHD000528H04,93,44,66,
RHD000529H04,87,41,68,
RHD000530H04,93,35,63,
RHD000531H04,97,39,69,
RHD000532H04,93,52,78,
RHD000533H04,93,50,69,
RHD000534H04,69,51,60,
RHD000535H04,97,64,82,
RHD000536H04,96,78,93,
RHD000537H04,96,52,78,
RHD000538H04,92,52,76,
RHD000539H04,97,48,75,
RHD000540H04,93,54,73,
RHD000541H04,90,46,68,
RHD000542H04,93,58,81,
RHD000543H04,86,38,65,
RHD000544H04,93,34,66,
RHD000545H04,93,39,71,
RHD000546H04,93,48,74,
RHD000547H04,89,35,63,
RHD000548H04,83,43,64,
RHD000549H04,93,47,85,
RHD000550H04,100,81,93,
RHD000551H04,100,38,78,
RHD000552H04,97,46,78,
RHD000553H04,97,53,79,
RHD000554H04,97,45,73,
RHD000555H04,100,43,77,
RHD000556H04,96,70,85,
RHD000557H04,97,77,93,
RHD000558H04,97,50,80,
RHD000559H04,96,38,74,
RHD000560H04,93,54,75,
RHD000561H04,97,83,90,
RHD000562H04,97,90,93,
RHD000563H04,96,75,86,
RHD000564H04,92,46,71,
RHD000565H04,93,35,71,
RHD000566H04,89,38,64,
RHD000567H04,93,53,66,
RHD000568H04,97,90,93,
RHD000569H04,97,36,67,
RHD000570H04,78,41,58,
RHD000571H04,87,55,68,
RHD000572H04,87,42,63,
RHD000573H04,97,84,92,
RHD000574H04,96,54,79,
RHD000575H04,97,61,87,
RHD000576H04,100,79,93,
RHD000577H04,96,65,87,
RHD000578H04,93,66,81,
RHD000579H04,97,43,67,
RHD000580H04,96,47,72,
RHD000581H04,93,51,74,
RHD000582H04,93,53,76,
RHD000583H04,93,42,72,
RHD000584H04,93,47,68,
RHD000585H04,87,39,64,
RHD000587H04,94,49,75,
RHD000588H04,96,58,79,
RHD000589H04,93,60,78,
RHD000590H04,93,58,76,
RHD000591H04,97,46,71,
RHD000592H04,97,88,93,
RHD000593H04,93,55,78,
RHD000594H04,83,37,59,
RHD000595H04,72,38,55,
RHD000596H04,90,55,72,
RHD000597H04,84,40,61,
RHD000598H04,81,48,62,
RHD000599H04,97,48,72,
RHD000600H04,93,76,83,
RHD000601H04,93,71,84,
RHD000602H04,96,81,91,
RHD000603H04,84,48,66,
RHD000604H04,96,51,75,
RHD000605H04,93,46,73,
RHD000606H04,90,44,68,
RHD000607H04,97,62,82,
