var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000155H04,96,55,77,2025-03-05
RHD000156H04,93,78,86,
RHD000157H04,97,87,93,
RHD000158H04,97,62,80,
RHD000159H04,100,87,94,
RHD000160H04,90,63,75,
RHD000161H04,90,57,74,
RHD000162H04,93,53,70,
RHD000163H04,84,49,67,
RHD000164H04,81,50,67,
RHD000165H04,84,56,70,
RHD000166H04,87,33,65,
RHD000167H04,96,71,84,
RHD000168H04,97,54,78,
RHD000169H04,97,54,79,
RHD000170H04,97,36,69,
RHD000171H04,100,44,75,
RHD000172H04,97,48,80,
RHD000173H04,97,50,77,
RHD000174H04,93,37,66,
RHD000175H04,93,37,68,
RHD000176H04,90,40,63,
RHD000177H04,96,35,57,
RHD000178H04,97,81,89,
RHD000179H04,97,64,82,
RHD000180H04,93,24,67,
RHD000181H04,90,31,60,
RHD000182H04,80,29,52,
RHD000183H04,94,34,58,
RHD000184H04,97,82,91,
RHD000185H04,97,60,79,
RHD000186H04,90,46,70,
RHD000187H04,78,62,70,
RHD000188H04,94,52,73,
RHD000189H04,100,46,79,
RHD000190H04,96,51,78,
RHD000191H04,96,44,72,
RHD000192H04,93,38,68,
RHD000193H04,90,35,66,
RHD000194H04,84,40,62,
RHD000195H04,87,43,62,
RHD000196H04,87,46,65,
RHD000197H04,100,67,87,
RHD000198H04,97,81,94,
RHD000199H04,96,76,87,
RHD000200H04,97,58,82,
RHD000201H04,91,37,69,
RHD000202H04,93,42,69,
RHD000203H04,91,42,68,
RHD000204H04,87,47,72,
RHD000205H04,84,44,66,
RHD000206H04,100,36,73,
RHD000207H04,100,77,90,
RHD000208H04,100,87,93,
RHD000209H04,100,90,93,
RHD000210H04,100,77,92,
RHD000211H04,100,42,73,
RHD000212H04,97,77,89,
RHD000213H04,97,67,85,
RHD000214H04,100,65,84,
RHD000215H04,91,45,71,
RHD000216H04,94,74,84,
RHD000217H04,97,67,83,
RHD000218H04,97,72,87,
RHD000219H04,87,40,63,
RHD000220H04,90,34,59,
RHD000221H04,76,41,57,
RHD000222H04,97,51,71,
RHD000223H04,100,74,88,
RHD000224H04,100,82,95,
RHD000225H04,91,69,80,
RHD000226H04,90,57,72,
RHD000227H04,91,53,69,
RHD000228H04,84,37,60,
RHD000229H04,97,45,70,
RHD000230H04,97,57,76,
RHD000231H04,97,47,72,
RHD000232H04,96,65,82,
RHD000233H04,100,42,68,
RHD000234H04,100,82,92,
RHD000235H04,97,79,90,
RHD000236H04,97,51,76,
RHD000237H04,100,79,89,
RHD000238H04,100,77,88,
RHD000239H04,100,54,82,
RHD000240H04,100,61,84,
RHD000241H04,100,82,93,
RHD000242H04,97,74,88,
RHD000243H04,94,69,81,
RHD000244H04,93,40,67,
RHD000245H04,81,35,55,
RHD000246H04,81,42,63,
RHD000247H04,100,72,90,
RHD000248H04,100,67,82,
RHD000249H04,68,29,48,
RHD000250H04,100,43,64,
RHD000251H04,94,63,77,
RHD000252H04,76,27,50,
RHD000253H04,96,41,61,
RHD000254H04,97,70,83,
RHD000255H04,91,69,80,
RHD000256H04,90,57,73,
RHD000257H04,87,59,75,
RHD000258H04,93,56,76,
RHD000259H04,87,64,76,
RHD000260H04,100,64,77,
RHD000261H04,90,42,62,
RHD000262H04,97,30,58,
RHD000263H04,93,71,79,
RHD000264H04,96,50,72,
RHD000265H04,93,46,69,
RHD000266H04,83,48,67,
RHD000267H04,84,36,62,
RHD000268H04,90,46,70,
RHD000269H04,78,35,53,
RHD000270H04,100,29,65,
RHD000271H04,97,79,91,
RHD000272H04,100,74,88,
RHD000273H04,100,52,78,
RHD000274H04,93,36,69,
RHD000275H04,91,38,63,
RHD000276H04,73,24,47,
RHD000277H04,83,27,47,
RHD000278H04,96,51,75,
RHD000279H04,93,43,69,
RHD000280H04,100,37,67,
RHD000281H04,100,81,94,
RHD000282H04,100,76,91,
RHD000283H04,96,46,67,
RHD000284H04,100,31,64,
RHD000285H04,97,71,87,
RHD000286H04,96,62,76,
RHD000287H04,100,73,83,
RHD000288H04,97,65,84,
RHD000289H04,96,65,83,
RHD000290H04,93,63,79,
RHD000291H04,93,50,73,
RHD000292H04,97,86,92,
RHD000293H04,97,93,95,
RHD000294H04,93,68,80,
RHD000295H04,96,65,80,
RHD000296H04,90,64,75,
RHD000297H04,93,45,71,
RHD000298H04,93,55,79,
RHD000299H04,90,49,68,
RHD000300H04,100,70,86,
RHD000301H04,100,34,65,
RHD000302H04,100,73,91,
RHD000303H04,100,86,92,
RHD000304H04,96,56,75,
RHD000305H04,90,64,78,
RHD000306H04,100,75,91,
RHD000307H04,100,61,83,
RHD000308H04,93,73,84,
RHD000309H04,93,47,76,
RHD000310H04,96,65,84,
RHD000311H04,93,28,60,
RHD000312H04,93,34,62,
RHD000313H04,86,29,53,
RHD000314H04,80,47,62,
RHD000315H04,93,38,64,
RHD000316H04,86,28,54,
RHD000317H04,76,35,48,
RHD000318H04,100,49,79,
RHD000319H04,93,57,78,
RHD000320H04,100,77,90,
RHD000321H04,93,44,74,
RHD000322H04,73,20,45,
RHD000323H04,90,22,59,
RHD000324H04,69,35,56,
RHD000325H04,83,49,59,
RHD000326H04,100,58,86,
RHD000327H04,100,81,95,
RHD000328H04,90,60,81,
RHD000329H04,86,25,53,
RHD000330H04,97,20,57,
RHD000331H04,89,40,61,
RHD000332H04,73,43,58,
RHD000333H04,85,41,58,
RHD000334H04,97,61,80,
RHD000335H04,93,74,90,
RHD000336H04,100,77,92,
RHD000337H04,93,51,69,
RHD000338H04,97,32,55,
RHD000339H04,93,23,47,
RHD000340H04,73,28,46,
RHD000341H04,100,82,95,
RHD000342H04,100,62,86,
RHD000343H04,93,56,67,
RHD000344H04,70,33,50,
RHD000345H04,70,30,46,
RHD000346H04,100,70,89,
RHD000347H04,70,36,51,
RHD000348H04,45,27,36,
RHD000349H04,89,34,60,
RHD000350H04,76,29,46,
RHD000351H04,63,29,43,
RHD000352H04,90,25,55,
RHD000353H04,96,55,77,
RHD000354H04,83,41,67,
RHD000355H04,100,36,69,
RHD000356H04,96,33,64,
RHD000357H04,63,25,39,
RHD000358H04,64,23,41,
RHD000359H04,100,48,74,
RHD000360H04,100,76,86,
RHD000361H04,82,32,64,
RHD000362H04,100,68,83,
RHD000363H04,100,93,98,
RHD000364H04,100,92,97,
RHD000365H04,100,62,88,
RHD000366H04,100,54,80,
RHD000367H04,100,82,96,
RHD000368H04,79,38,53,
RHD000369H04,49,29,38,
RHD000370H04,100,71,95,
RHD000371H04,100,72,90,
RHD000372H04,100,58,79,
RHD000373H04,76,30,52,
RHD000374H04,93,29,56,
RHD000375H04,100,79,93,
RHD000376H04,93,67,79,
RHD000377H04,84,59,70,
RHD000378H04,69,32,52,
RHD000379H04,69,38,51,
RHD000380H04,74,41,55,
RHD000381H04,100,48,76,
RHD000382H04,78,39,51,
RHD000383H04,82,28,57,
RHD000384H04,72,40,49,
RHD000385H04,100,67,89,
RHD000386H04,85,55,70,
RHD000387H04,93,54,69,
RHD000388H04,100,64,83,
RHD000389H04,100,69,87,
RHD000390H04,100,36,78,
RHD000391H04,85,40,66,
RHD000392H04,81,43,58,
RHD000393H04,69,26,48,
RHD000394H04,66,37,52,
RHD000395H04,72,45,56,
RHD000396H04,100,62,87,
RHD000397H04,97,66,81,
RHD000398H04,79,62,70,
RHD000399H04,76,62,72,
RHD000400H04,97,67,80,
RHD000401H04,100,89,95,
RHD000402H04,100,73,89,
RHD000403H04,100,79,97,
RHD000404H04,100,79,95,
RHD000405H04,100,83,96,
RHD000406H04,82,41,57,
RHD000407H04,78,50,60,
RHD000408H04,68,43,56,
RHD000409H04,72,48,57,
RHD000410H04,89,63,75,
RHD000411H04,75,43,56,
RHD000412H04,77,40,57,
RHD000413H04,96,65,89,
RHD000414H04,92,36,51,
RHD000415H04,76,22,47,
RHD000416H04,100,40,73,
RHD000417H04,96,44,71,
RHD000418H04,76,46,58,
RHD000419H04,100,41,64,
RHD000420H04,100,71,89,
RHD000421H04,92,49,69,
RHD000422H04,100,79,91,
RHD000423H04,97,61,81,
RHD000424H04,69,42,56,
RHD000425H04,89,37,62,
RHD000426H04,88,49,69,
RHD000427H04,75,47,63,
RHD000428H04,86,60,73,
RHD000429H04,70,51,57,
RHD000460H04,77,39,56,
RHD000461H04,66,34,49,
RHD000462H04,57,33,45,
RHD000463H04,100,46,68,
RHD000464H04,100,65,80,
RHD000465H04,78,41,56,
RHD000466H04,86,39,57,
RHD000467H04,86,47,69,
RHD000468H04,100,80,92,
RHD000469H04,93,54,70,
RHD000470H04,66,32,50,
RHD000471H04,79,34,58,
RHD000472H04,97,32,67,
RHD000473H04,100,70,89,
RHD000474H04,100,42,77,
RHD000475H04,92,50,72,
RHD000476H04,92,42,63,
RHD000477H04,92,49,76,
RHD000478H04,92,51,72,
RHD000479H04,97,41,62,
RHD000480H04,97,41,72,
RHD000481H04,97,60,80,
RHD000482H04,68,36,50,
RHD000483H04,90,53,70,
RHD000484H04,89,57,73,
RHD000485H04,96,33,66,
RHD000486H04,97,51,77,
RHD000487H04,92,40,67,
RHD000488H04,96,36,68,
RHD000489H04,89,61,75,
RHD000490H04,71,41,59,
RHD000491H04,100,66,91,
RHD000492H04,100,47,85,
RHD000493H04,93,46,69,
RHD000494H04,100,55,83,
RHD000495H04,97,37,77,
RHD000496H04,96,56,79,
RHD000497H04,97,56,80,
RHD000498H04,92,50,69,
RHD000499H04,83,46,62,
RHD000500H04,100,63,83,
