var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000190H04,90,51,70,2025-04-09
RHD000191H04,93,81,88,
RHD000192H04,93,84,89,
RHD000193H04,91,64,76,
RHD000194H04,93,46,84,
RHD000195H04,81,65,73,
RHD000196H04,75,49,63,
RHD000197H04,75,53,65,
RHD000198H04,78,43,62,
RHD000199H04,81,42,59,
RHD000200H04,79,44,63,
RHD000201H04,79,32,55,
RHD000202H04,87,52,70,
RHD000203H04,84,52,69,
RHD000204H04,90,48,69,
RHD000205H04,87,47,64,
RHD000206H04,87,39,65,
RHD000207H04,90,42,67,
RHD000208H04,90,34,67,
RHD000209H04,84,27,56,
RHD000210H04,63,34,48,
RHD000211H04,72,30,47,
RHD000212H04,80,32,50,
RHD000213H04,90,60,78,
RHD000214H04,87,56,75,
RHD000215H04,87,39,63,
RHD000216H04,78,31,52,
RHD000217H04,70,27,47,
RHD000218H04,64,32,47,
RHD000219H04,88,59,75,
RHD000220H04,82,67,75,
RHD000221H04,87,56,72,
RHD000222H04,82,60,69,
RHD000223H04,82,44,63,
RHD000224H04,87,46,65,
RHD000225H04,84,42,65,
RHD000226H04,81,39,59,
RHD000227H04,75,36,53,
RHD000228H04,81,31,51,
RHD000229H04,88,36,56,
RHD000230H04,72,37,54,
RHD000231H04,66,38,52,
RHD000232H04,93,51,70,
RHD000233H04,94,61,82,
RHD000234H04,88,67,79,
RHD000235H04,85,40,65,
RHD000236H04,71,33,50,
RHD000237H04,73,32,52,
RHD000238H04,68,37,51,
RHD000239H04,75,37,53,
RHD000240H04,66,36,51,
RHD000241H04,90,39,56,
RHD000242H04,94,70,86,
RHD000243H04,94,78,90,
RHD000244H04,91,78,87,
RHD000245H04,94,49,77,
RHD000246H04,94,38,63,
RHD000247H04,91,63,83,
RHD000248H04,90,51,74,
RHD000249H04,88,51,71,
RHD000250H04,85,33,57,
RHD000251H04,87,46,66,
RHD000252H04,88,44,69,
RHD000253H04,88,43,68,
RHD000254H04,77,35,56,
RHD000255H04,68,35,49,
RHD000256H04,60,34,45,
RHD000257H04,88,42,60,
RHD000258H04,90,63,78,
RHD000259H04,94,63,80,
RHD000260H04,88,63,76,
RHD000261H04,74,45,62,
RHD000262H04,78,46,60,
RHD000263H04,65,32,48,
RHD000264H04,91,39,59,
