var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000155H04,93,59,75,2025-03-05
RHD000156H04,97,84,90,
RHD000157H04,93,81,91,
RHD000158H04,96,71,81,
RHD000159H04,97,87,93,
RHD000160H04,87,68,75,
RHD000161H04,75,49,64,
RHD000162H04,80,51,68,
RHD000163H04,76,42,60,
RHD000164H04,76,45,62,
RHD000165H04,79,49,65,
RHD000166H04,81,34,57,
RHD000167H04,84,54,73,
RHD000168H04,90,58,74,
RHD000169H04,87,54,74,
RHD000170H04,90,47,68,
RHD000171H04,100,58,79,
RHD000172H04,93,52,78,
RHD000173H04,93,52,76,
RHD000174H04,90,36,63,
RHD000175H04,81,39,58,
RHD000176H04,70,36,53,
RHD000177H04,81,34,50,
RHD000178H04,96,63,81,
RHD000179H04,90,62,78,
RHD000180H04,84,40,65,
RHD000181H04,81,32,57,
RHD000182H04,70,28,51,
RHD000183H04,74,33,50,
RHD000184H04,94,74,87,
RHD000185H04,94,67,80,
RHD000186H04,90,56,75,
RHD000187H04,76,62,69,
RHD000188H04,85,48,69,
RHD000189H04,93,53,76,
RHD000190H04,84,61,76,
RHD000191H04,87,55,71,
RHD000192H04,84,38,62,
RHD000193H04,79,38,58,
RHD000194H04,72,40,54,
RHD000195H04,70,37,53,
RHD000196H04,71,41,55,
RHD000197H04,100,61,79,
RHD000198H04,94,79,89,
RHD000199H04,94,76,84,
RHD000200H04,90,53,73,
RHD000201H04,79,45,63,
RHD000202H04,87,35,57,
RHD000203H04,90,41,63,
RHD000204H04,78,49,61,
RHD000205H04,74,47,57,
RHD000206H04,97,42,58,
RHD000207H04,100,82,93,
RHD000208H04,100,84,94,
RHD000209H04,97,81,91,
RHD000210H04,100,75,88,
RHD000211H04,96,46,74,
RHD000212H04,97,79,89,
RHD000213H04,97,67,84,
RHD000214H04,96,62,83,
RHD000215H04,94,46,69,
RHD000216H04,94,57,77,
RHD000217H04,94,65,82,
RHD000218H04,94,60,79,
RHD000219H04,82,35,60,
RHD000220H04,81,40,57,
RHD000221H04,71,35,50,
RHD000222H04,94,43,64,
RHD000223H04,94,74,85,
RHD000224H04,96,69,84,
RHD000225H04,94,74,82,
RHD000226H04,88,58,75,
RHD000227H04,84,64,72,
RHD000228H04,71,40,60,
RHD000229H04,100,42,67,
RHD000230H04,100,62,79,
RHD000231H04,87,59,71,
RHD000232H04,94,67,83,
RHD000233H04,97,46,74,
RHD000234H04,97,79,89,
RHD000235H04,97,59,86,
RHD000236H04,96,46,70,
RHD000237H04,100,74,87,
RHD000238H04,100,79,90,
RHD000239H04,100,61,84,
RHD000240H04,96,51,79,
RHD000241H04,100,72,89,
RHD000242H04,96,74,87,
RHD000243H04,94,69,80,
RHD000244H04,87,47,69,
RHD000245H04,87,41,56,
RHD000246H04,68,42,53,
RHD000247H04,100,61,88,
RHD000248H04,97,71,82,
RHD000249H04,73,31,49,
RHD000250H04,97,37,63,
RHD000251H04,89,60,72,
RHD000252H04,66,26,45,
RHD000253H04,93,39,54,
RHD000254H04,94,65,81,
RHD000255H04,91,57,75,
RHD000256H04,91,50,70,
RHD000257H04,87,62,75,
RHD000258H04,87,58,75,
RHD000259H04,84,66,74,
RHD000260H04,93,62,77,
RHD000261H04,90,41,62,
RHD000262H04,82,28,55,
RHD000263H04,93,69,79,
RHD000264H04,100,64,76,
RHD000265H04,97,54,70,
RHD000266H04,78,57,66,
RHD000267H04,76,39,53,
RHD000268H04,81,33,59,
RHD000269H04,76,34,47,
RHD000270H04,93,37,57,
RHD000271H04,100,67,84,
RHD000272H04,97,74,86,
RHD000273H04,96,60,81,
RHD000274H04,91,49,70,
RHD000275H04,87,53,68,
RHD000276H04,70,31,45,
RHD000277H04,56,27,37,
RHD000278H04,90,37,64,
RHD000279H04,93,50,68,
RHD000280H04,100,39,61,
RHD000281H04,100,79,94,
RHD000282H04,100,72,89,
RHD000283H04,97,45,65,
RHD000284H04,96,30,64,
RHD000285H04,90,64,82,
RHD000286H04,90,66,77,
RHD000287H04,97,71,83,
