var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000190H04,93,64,77,2025-04-09
RHD000191H04,97,81,89,
RHD000192H04,96,66,83,
RHD000193H04,93,57,79,
RHD000194H04,94,84,91,
RHD000195H04,84,65,73,
RHD000196H04,83,55,70,
RHD000197H04,83,59,69,
RHD000198H04,81,48,65,
RHD000199H04,80,51,65,
RHD000200H04,81,54,69,
RHD000201H04,81,33,58,
RHD000202H04,90,68,79,
RHD000203H04,93,62,80,
RHD000204H04,90,55,75,
RHD000205H04,91,46,68,
RHD000206H04,90,58,74,
RHD000207H04,93,43,74,
RHD000208H04,93,54,76,
RHD000209H04,86,40,62,
RHD000210H04,78,31,56,
RHD000211H04,78,41,58,
RHD000212H04,93,36,59,
RHD000213H04,93,78,85,
RHD000214H04,93,66,78,
RHD000215H04,90,41,69,
RHD000216H04,84,38,62,
RHD000217H04,78,30,54,
RHD000218H04,81,34,57,
RHD000219H04,94,74,87,
RHD000220H04,87,72,81,
RHD000221H04,87,55,72,
RHD000222H04,81,59,69,
RHD000223H04,79,52,69,
RHD000224H04,97,53,73,
RHD000225H04,91,51,78,
RHD000226H04,87,43,70,
RHD000227H04,90,42,65,
RHD000228H04,90,42,64,
RHD000229H04,81,40,61,
RHD000230H04,81,41,61,
RHD000231H04,81,42,61,
RHD000232H04,94,69,84,
RHD000233H04,97,84,92,
RHD000234H04,87,74,82,
RHD000235H04,93,71,82,
RHD000236H04,84,48,66,
RHD000237H04,81,47,66,
RHD000238H04,86,39,61,
RHD000239H04,87,44,64,
RHD000240H04,81,42,63,
RHD000241H04,97,42,68,
RHD000242H04,97,74,86,
RHD000243H04,96,84,92,
RHD000244H04,93,81,88,
RHD000245H04,94,67,85,
RHD000246H04,97,40,73,
RHD000247H04,94,69,84,
RHD000248H04,94,51,81,
RHD000249H04,94,61,81,
RHD000250H04,90,44,71,
RHD000251H04,88,65,78,
RHD000252H04,94,65,79,
RHD000253H04,90,77,85,
RHD000254H04,81,56,68,
