var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000190H04,90,55,69,2025-04-09
RHD000191H04,93,70,82,
RHD000192H04,93,59,78,
RHD000193H04,93,40,67,
RHD000194H04,97,84,94,
RHD000195H04,93,65,81,
RHD000196H04,96,62,81,
RHD000197H04,93,67,80,
RHD000198H04,97,58,79,
RHD000199H04,97,83,92,
RHD000200H04,96,80,89,
RHD000201H04,93,37,67,
RHD000202H04,81,36,58,
RHD000203H04,80,25,54,
RHD000204H04,86,28,55,
RHD000205H04,96,45,68,
RHD000206H04,87,42,64,
RHD000207H04,87,42,67,
RHD000208H04,84,35,61,
RHD000209H04,69,39,51,
RHD000210H04,90,33,62,
RHD000211H04,75,45,62,
RHD000212H04,93,38,64,
RHD000213H04,93,61,80,
RHD000214H04,100,61,87,
RHD000215H04,83,38,56,
RHD000216H04,72,39,55,
RHD000217H04,67,33,51,
RHD000218H04,87,35,55,
RHD000219H04,93,64,83,
RHD000220H04,96,67,80,
RHD000221H04,84,53,67,
RHD000222H04,72,50,63,
RHD000223H04,84,55,69,
RHD000224H04,91,45,67,
RHD000225H04,91,60,81,
RHD000226H04,81,41,62,
RHD000227H04,78,42,59,
RHD000228H04,87,39,60,
RHD000229H04,90,51,71,
RHD000230H04,90,49,69,
RHD000231H04,93,59,73,
RHD000232H04,97,82,92,
RHD000233H04,97,87,95,
RHD000234H04,97,64,82,
RHD000235H04,100,73,88,
RHD000236H04,97,49,73,
RHD000237H04,76,42,60,
RHD000238H04,87,48,68,
RHD000239H04,93,53,71,
RHD000240H04,78,43,62,
RHD000241H04,96,42,69,
RHD000242H04,100,79,93,
RHD000243H04,100,63,85,
RHD000244H04,97,70,86,
RHD000245H04,97,79,93,
RHD000246H04,100,50,71,
RHD000247H04,97,71,88,
RHD000248H04,100,61,83,
RHD000249H04,96,50,75,
RHD000250H04,97,48,71,
RHD000251H04,97,74,88,
RHD000252H04,100,57,83,
RHD000253H04,97,81,92,
RHD000254H04,87,39,58,
RHD000255H04,76,33,52,
RHD000256H04,87,35,56,
RHD000257H04,100,45,74,
RHD000258H04,100,90,95,
RHD000259H04,94,74,86,
RHD000260H04,91,51,68,
RHD000261H04,93,42,65,
RHD000262H04,87,41,62,
RHD000263H04,75,44,59,
RHD000264H04,97,44,67,
RHD000265H04,97,57,78,
RHD000266H04,91,48,72,
RHD000267H04,96,53,81,
RHD000268H04,91,37,65,
RHD000269H04,94,65,84,
